epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3523,1.94301,3.59568,1.7292,0.39019,0.46763,0.34853,0.13006,2.06804,4.01749,2.01907,0.00053979,0.00053979,0.00053979
2,36.0868,2.04313,2.02344,1.76324,0.01746,0.24653,0.01131,0.00372,2.47011,26.3761,2.70628,0.00106834,0.00106834,0.00106834
3,53.2873,2.0492,1.89968,1.78143,0.02428,0.54781,0.02071,0.00764,2.39379,46.2279,2.6302,0.00156939,0.00156939,0.00156939
4,69.776,2.0529,1.87903,1.76021,0.16806,0.41599,0.15406,0.06584,1.95753,12.0426,1.99693,0.00154323,0.00154323,0.00154323
5,86.3479,2.02567,1.68612,1.76003,0.1972,0.40079,0.15284,0.06077,2.02558,7.6923,1.91462,0.00150197,0.00150197,0.00150197
6,103.431,1.95254,1.6993,1.68183,0.29798,0.40932,0.32073,0.13272,2.02734,3.75007,1.85786,0.00146071,0.00146071,0.00146071
7,120.652,1.97682,1.62478,1.71383,0.49402,0.61922,0.52027,0.23646,1.98952,2.42466,1.7806,0.00141945,0.00141945,0.00141945
8,137.778,1.93035,1.55575,1.68281,0.48512,0.46788,0.44902,0.20172,1.98788,1.66697,1.70622,0.00137819,0.00137819,0.00137819
9,155.431,1.94654,1.51434,1.64237,0.53519,0.54993,0.53554,0.22564,2.02073,1.67813,1.73994,0.00133693,0.00133693,0.00133693
10,172.095,1.9194,1.44448,1.66095,0.69769,0.63874,0.66144,0.28677,1.92136,1.43136,1.67769,0.00129568,0.00129568,0.00129568
11,188.916,1.88445,1.44989,1.6563,0.54694,0.57882,0.54769,0.25291,1.87387,1.75207,1.62715,0.00125442,0.00125442,0.00125442
12,206.069,1.89339,1.4582,1.67958,0.69333,0.64608,0.66103,0.29003,1.91781,1.32605,1.66496,0.00121316,0.00121316,0.00121316
13,223.383,1.84141,1.35039,1.56641,0.71107,0.628,0.67047,0.32428,1.88049,1.36749,1.63413,0.0011719,0.0011719,0.0011719
14,240.189,1.85557,1.32656,1.62857,0.63356,0.64233,0.6378,0.30489,1.86079,1.31635,1.63566,0.00113064,0.00113064,0.00113064
15,257.321,1.85163,1.28273,1.59705,0.73314,0.69496,0.74491,0.34704,1.89169,1.22469,1.61397,0.00108938,0.00108938,0.00108938
16,274.339,1.84081,1.26849,1.57294,0.7245,0.67862,0.72811,0.3513,1.8532,1.18506,1.61806,0.00104813,0.00104813,0.00104813
17,291.057,1.80736,1.26087,1.55699,0.82127,0.70701,0.75662,0.36054,1.89396,1.18168,1.64557,0.00100687,0.00100687,0.00100687
18,308.015,1.82014,1.24099,1.58565,0.78459,0.66914,0.72396,0.35322,1.8696,1.14876,1.62221,0.00096561,0.00096561,0.00096561
19,325.836,1.78459,1.18486,1.56666,0.77844,0.65332,0.7396,0.36627,1.86298,1.14649,1.5816,0.000924352,0.000924352,0.000924352
20,342.627,1.82006,1.15701,1.55456,0.78079,0.72084,0.77142,0.38091,1.8415,1.14763,1.59419,0.000883093,0.000883093,0.000883093
21,359.573,1.75344,1.22189,1.55586,0.7715,0.73363,0.78471,0.36893,1.8546,1.0886,1.57141,0.000841835,0.000841835,0.000841835
22,376.718,1.80226,1.20123,1.55902,0.75696,0.7781,0.81097,0.40411,1.81077,1.0543,1.57864,0.000800577,0.000800577,0.000800577
23,393.426,1.74817,1.12023,1.53032,0.82373,0.71127,0.76314,0.37404,1.86895,1.16859,1.59525,0.000759318,0.000759318,0.000759318
24,410.13,1.70346,1.12404,1.52694,0.76225,0.7251,0.76531,0.39199,1.82915,1.06246,1.5942,0.00071806,0.00071806,0.00071806
25,427.23,1.76879,1.1473,1.52827,0.79055,0.72357,0.75607,0.38352,1.84268,1.06273,1.6253,0.000676802,0.000676802,0.000676802
26,443.957,1.75048,1.10774,1.53987,0.82548,0.75933,0.82229,0.41841,1.84052,0.99415,1.58974,0.000635544,0.000635544,0.000635544
27,460.772,1.73368,1.1039,1.51112,0.81028,0.73083,0.80363,0.41717,1.7905,0.98321,1.52636,0.000594286,0.000594286,0.000594286
28,477.893,1.7125,1.08863,1.50101,0.84651,0.69261,0.77506,0.39014,1.8373,1.04026,1.58028,0.000553027,0.000553027,0.000553027
29,494.907,1.707,1.05379,1.51959,0.83236,0.69965,0.77212,0.39295,1.835,0.96591,1.58445,0.000511769,0.000511769,0.000511769
30,511.626,1.68029,1.01146,1.48018,0.81648,0.7301,0.79751,0.41177,1.82311,0.95819,1.57003,0.000470511,0.000470511,0.000470511
31,530.1,1.74182,0.93213,1.52088,0.81629,0.71316,0.78972,0.40804,1.78648,0.98237,1.55003,0.000429253,0.000429253,0.000429253
32,546.912,1.68704,0.91197,1.51951,0.80347,0.77003,0.80542,0.43603,1.74714,0.94546,1.5339,0.000387994,0.000387994,0.000387994
33,563.618,1.68222,0.88038,1.51333,0.78661,0.73422,0.79443,0.4204,1.78557,0.98575,1.5396,0.000346736,0.000346736,0.000346736
